# t	m[free_layer]_x	m[free_layer]_y	m[free_layer]_z	m[fixed_layer]_x	m[fixed_layer]_y	m[fixed_layer]_z
3.7524890324429e-09	0.17599067628701	-0.412066289365204	0.858150487854579	-0.00188574548652449	0.00670227992879299	0.999763595163444
3.75337183661264e-09	0.183126814012123	-0.4090744944069	0.858092296826755	-0.00200149088871446	0.00667046868172369	0.999763603496401
3.7535989886667e-09	0.184955638978111	-0.408284259271277	0.858077367269496	-0.0020311979261997	0.00666195447214172	0.999763605445389
3.75397737265935e-09	0.187995363125474	-0.406949345432281	0.858052537464064	-0.00208061487871465	0.00664747279469914	0.999763608514617
3.75430717660989e-09	0.190638008069782	-0.405766898604077	0.858030935740532	-0.00212361769614047	0.00663454567553382	0.999763611009017
3.75515648531167e-09	0.197405821906169	-0.402643402082763	0.857975491904296	-0.00223393152338523	0.00659998323757535	0.999763615651919
3.75548882769063e-09	0.200041082210988	-0.401389845841669	0.85795386621181	-0.00227695672329648	0.00658595278650124	0.999763616971832
3.75630455515812e-09	0.206478634343736	-0.39823821626311	0.857900952612167	-0.00238223082763398	0.00655030707728437	0.999763619084392
3.75681615396528e-09	0.210491806625512	-0.396208136299556	0.857867892098959	-0.00244798673680337	0.00652708345987642	0.999763620881509
3.75699889891511e-09	0.211920010214498	-0.395473283950015	0.857856107977655	-0.00247141358697701	0.00651862895847312	0.999763622105899
3.75778156048262e-09	0.218009268169762	-0.39226672493861	0.857805779294529	-0.00257144056220055	0.00648145634291145	0.999763628172136
3.75869134806057e-09	0.22503162345667	-0.38841843152851	0.857747562044807	-0.00268709166895144	0.00643628217622006	0.999763636899676
3.75886612299879e-09	0.226373211093586	-0.387664506925192	0.857736414729533	-0.00270922360156705	0.0064273644438647	0.999763639324655
3.7593389190079e-09	0.229988114401763	-0.385602333793477	0.857706323676129	-0.00276892107601333	0.00640286268899613	0.999763649343275
3.76018843815707e-09	0.236438589041542	-0.381810505915083	0.857652474104727	-0.00287566990937409	0.00635742107408479	0.999763672432974
3.76038304373589e-09	0.237908146918325	-0.38092623434762	0.857640177819065	-0.00290003040197335	0.00634675513625426	0.99976367864269
3.76126560965211e-09	0.244532745259238	-0.37684377200812	0.857584588172895	-0.00301003837726499	0.00629719785498246	0.999763708364425
3.76205573248234e-09	0.250403211402458	-0.373090832551949	0.857535047724349	-0.00310779789488616	0.00625121129454031	0.99976373140429
3.76252113587438e-09	0.253835779155591	-0.370836225957328	0.857505972557041	-0.003165081147151	0.00622339936636292	0.999763745095153
3.76278361805842e-09	0.255763437963117	-0.369550258713294	0.857489608983205	-0.00319729025023093	0.00620747682874445	0.99976375285581
3.76363058249387e-09	0.261939183077517	-0.365331930394325	0.857436983598511	-0.00330068269041992	0.0061549476720703	0.999763777325489
3.76442488826035e-09	0.267667647906352	-0.361281346384994	0.857387877045102	-0.00339687211273189	0.0061040944352999	0.999763799100843
